class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
cotton	0.490041	0.581661	0.657755						
longkui	0.815349	0.896094	0.898283						
machixian	0.657402	0.902672	0.793292						
niujincao	0.284073	0.292118	0.442456						
tianxuanhua	0.676419	0.806718	0.806981						
background	0.988926	0.996457	0.994432	0.979009	0.713445	0.796022	0.818274	1024	5
abuth	0.921559	0.950232	0.959179						
canger	0.707880	0.939151	0.828957						
cotton	0.562320	0.686887	0.719853						
longkui	0.826835	0.937007	0.905210						
machixian	0.585665	0.629520	0.738699						
niujincao	0.386057	0.411492	0.557058						
tianxuanhua	0.728316	0.817432	0.842804						
background	0.989485	0.996204	0.994715	0.979131	0.714478	0.795609	0.819744	1056	5
abuth	0.911238	0.957952	0.953558						
canger	0.731544	0.939830	0.844962						
cotton	0.559894	0.673308	0.717862						
longkui	0.824617	0.935404	0.903879						
machixian	0.555688	0.619056	0.714396						
niujincao	0.412535	0.445298	0.584106						
tianxuanhua	0.730819	0.797822	0.844478						
background	0.989542	0.996124	0.994743	0.978626	0.703415	0.783307	0.810118	1088	5
abuth	0.905340	0.963114	0.950319						
canger	0.737317	0.938200	0.848799						
cotton	0.562779	0.687425	0.720229						
longkui	0.820168	0.930261	0.901200						
machixian	0.514054	0.571553	0.679043						
niujincao	0.379866	0.403392	0.550584						
tianxuanhua	0.718251	0.776383	0.836026						
background	0.989818	0.996009	0.994883	0.978615	0.703795	0.782854	0.810438	1120	6
abuth	0.903179	0.965357	0.949127						
canger	0.733378	0.941374	0.846183						
cotton	0.575768	0.720433	0.730778						
longkui	0.826606	0.925626	0.905073						
machixian	0.476366	0.506909	0.645322						
niujincao	0.399907	0.430011	0.571334						
tianxuanhua	0.725338	0.777116	0.840807						
background	0.989627	0.996305	0.994787	0.978390	0.705029	0.784221	0.811440	1152	6
abuth	0.901361	0.958733	0.948122						
canger	0.726834	0.938919	0.841811						
cotton	0.563759	0.689947	0.721031						
longkui	0.828764	0.916317	0.906365						
machixian	0.496606	0.546269	0.663643						
niujincao	0.395049	0.425963	0.566359						
tianxuanhua	0.738227	0.801319	0.849402						
background	0.989223	0.996532	0.994582	0.978267	0.700572	0.779409	0.806880	1184	6
abuth	0.905656	0.955276	0.950492						
canger	0.722151	0.931174	0.838662						
cotton	0.553757	0.681739	0.712798						
longkui	0.824976	0.920661	0.904095						
machixian	0.538259	0.599479	0.699829						
niujincao	0.346437	0.364235	0.514598						
tianxuanhua	0.724119	0.786173	0.839987						
background	0.989514	0.996349	0.994729	0.977486	0.687437	0.767205	0.795512	1216	6
abuth	0.903437	0.961625	0.949269						
canger	0.711972	0.931893	0.831757						
cotton	0.561408	0.739413	0.719105						
longkui	0.828594	0.913791	0.906263						
machixian	0.410420	0.422123	0.581982						
niujincao	0.372136	0.397293	0.542419						
tianxuanhua	0.722015	0.775150	0.838570						
background	0.989621	0.996211	0.994784	0.977315	0.688581	0.771327	0.796053	1248	6
abuth	0.900418	0.960121	0.947600						
canger	0.712688	0.933016	0.832245						
cotton	0.561318	0.746871	0.719031						
longkui	0.834850	0.922638	0.909993						
machixian	0.362684	0.369159	0.532308						
niujincao	0.416759	0.454623	0.588328						
tianxuanhua	0.730308	0.787975	0.844136						
background	0.989660	0.996271	0.994803	0.977192	0.684636	0.765736	0.793150	1280	6
abuth	0.900379	0.960843	0.947578						
canger	0.709833	0.939145	0.830295						
cotton	0.558780	0.739793	0.716945						
longkui	0.824607	0.907477	0.903874						
machixian	0.368401	0.375881	0.538440						
niujincao	0.402819	0.434268	0.574300						
tianxuanhua	0.722606	0.772212	0.838968						
background	0.989678	0.996003	0.994812	0.978278	0.698372	0.779128	0.805871	1312	7
abuth	0.906358	0.967517	0.950879						
canger	0.720732	0.923614	0.837704						
cotton	0.568475	0.729662	0.724876						
longkui	0.824163	0.930982	0.903607						
machixian	0.465487	0.487831	0.635266						
niujincao	0.390173	0.417199	0.561330						
tianxuanhua	0.721906	0.780220	0.838496						
background	0.989755	0.996046	0.994851	0.978357	0.699088	0.780202	0.805650	1344	7
abuth	0.904369	0.968750	0.949783						
canger	0.728499	0.926189	0.842927						
cotton	0.568497	0.731019	0.724894						
longkui	0.827674	0.924130	0.905713						
machixian	0.464642	0.487196	0.634478						
niujincao	0.375827	0.397317	0.546329						
tianxuanhua	0.733441	0.810972	0.846226						
background	0.989674	0.996156	0.994810	0.978573	0.705046	0.784605	0.811727	1376	7
abuth	0.905676	0.960561	0.950504						
canger	0.723392	0.939744	0.839498						
cotton	0.575294	0.725745	0.730396						
longkui	0.825854	0.927444	0.904622						
machixian	0.485319	0.507875	0.653488						
niujincao	0.404844	0.436092	0.576355						
tianxuanhua	0.730318	0.783223	0.844143						
background	0.989440	0.996536	0.994692	0.979030	0.708871	0.783075	0.814792	1408	7
abuth	0.909707	0.959900	0.952719						
canger	0.740701	0.923381	0.851038						
cotton	0.582673	0.764313	0.736315						
longkui	0.818952	0.897936	0.900466						
machixian	0.518120	0.542709	0.682581						
niujincao	0.393475	0.420444	0.564739						
tianxuanhua	0.717898	0.759378	0.835787						
background	0.989641	0.996197	0.994794	0.978675	0.704495	0.782699	0.810709	1440	7
abuth	0.908131	0.963699	0.951854						
canger	0.735965	0.921512	0.847903						
cotton	0.579696	0.775723	0.733934						
longkui	0.824248	0.911652	0.903658						
machixian	0.467272	0.482395	0.636926						
niujincao	0.401615	0.430930	0.573075						
tianxuanhua	0.729393	0.779481	0.843525						
background	0.989755	0.995830	0.994851	0.978089	0.692721	0.775914	0.799450	1472	7
abuth	0.904573	0.967320	0.949896						
canger	0.740822	0.921602	0.851117						
cotton	0.568298	0.779807	0.724732						
longkui	0.822202	0.936483	0.902427						
machixian	0.429578	0.442737	0.600986						
niujincao	0.361383	0.382061	0.530905						
tianxuanhua	0.725159	0.781471	0.840687						
background	0.989604	0.996032	0.994775	0.977287	0.683215	0.767722	0.791740	1504	7
abuth	0.901720	0.958433	0.948321						
canger	0.716109	0.935139	0.834573						
cotton	0.562335	0.764961	0.719865						
longkui	0.821104	0.933235	0.901765						
machixian	0.398098	0.405259	0.569486						
niujincao	0.361794	0.383158	0.531349						
tianxuanhua	0.714952	0.765557	0.833787						
background	0.989853	0.995588	0.994901	0.977838	0.690901	0.775735	0.798205	1536	8
abuth	0.901684	0.965990	0.948301						
canger	0.724534	0.937311	0.840267						
cotton	0.576243	0.771307	0.731160						
longkui	0.822425	0.934097	0.902561						
machixian	0.414528	0.423831	0.586101						
niujincao	0.369126	0.392008	0.539215						
tianxuanhua	0.728815	0.785752	0.843139						
background	0.989859	0.995533	0.994904	0.978482	0.699691	0.783716	0.806044	1568	8
abuth	0.902390	0.968003	0.948691						
canger	0.734328	0.937629	0.846815						
cotton	0.594562	0.776099	0.745737						
longkui	0.821779	0.934799	0.902172						
machixian	0.445618	0.458411	0.616508						
niujincao	0.378800	0.401936	0.549463						
tianxuanhua	0.730194	0.797315	0.844060						
background	0.989957	0.995373	0.994953	0.978655	0.701053	0.784154	0.807515	1600	8
abuth	0.906024	0.972104	0.950695						
canger	0.732615	0.942944	0.845676						
cotton	0.592895	0.772119	0.744424						
longkui	0.826448	0.927120	0.904978						
machixian	0.445463	0.455925	0.616360						
niujincao	0.393600	0.422595	0.564868						
tianxuanhua	0.721419	0.785050	0.838168						
