Device: cuda
Dataset: cottonweed, Train set: 513, Val set: 146
Epoch 41, Itrs 2610/10000, Loss=0.077801
Epoch 41, Itrs 2620/10000, Loss=0.093394
Epoch 42, Itrs 2630/10000, Loss=0.034559
Epoch 42, Itrs 2640/10000, Loss=0.099683
Epoch 42, Itrs 2650/10000, Loss=0.081690
Epoch 42, Itrs 2660/10000, Loss=0.075720
Epoch 42, Itrs 2670/10000, Loss=0.121720
Epoch 42, Itrs 2680/10000, Loss=0.072089
Epoch 43, Itrs 2690/10000, Loss=0.042932
Epoch 43, Itrs 2700/10000, Loss=0.105839
Epoch 43, Itrs 2710/10000, Loss=0.055438
Epoch 43, Itrs 2720/10000, Loss=0.092055
Epoch 43, Itrs 2730/10000, Loss=0.130373
Epoch 43, Itrs 2740/10000, Loss=0.161844
Epoch 43, Itrs 2750/10000, Loss=0.085523
Epoch 44, Itrs 2760/10000, Loss=0.133226
Epoch 44, Itrs 2770/10000, Loss=0.044725
Epoch 44, Itrs 2780/10000, Loss=0.046400
Epoch 44, Itrs 2790/10000, Loss=0.086739
Epoch 44, Itrs 2800/10000, Loss=0.091211
Epoch 44, Itrs 2810/10000, Loss=0.216145
Epoch 45, Itrs 2820/10000, Loss=0.100173
Epoch 45, Itrs 2830/10000, Loss=0.070278
Epoch 45, Itrs 2840/10000, Loss=0.042195
Epoch 45, Itrs 2850/10000, Loss=0.101633
Epoch 45, Itrs 2860/10000, Loss=0.066693
Epoch 45, Itrs 2870/10000, Loss=0.191043
Epoch 45, Itrs 2880/10000, Loss=0.146523
Epoch 46, Itrs 2890/10000, Loss=0.132813
Epoch 46, Itrs 2900/10000, Loss=0.064023
Epoch 46, Itrs 2910/10000, Loss=0.160950
Epoch 46, Itrs 2920/10000, Loss=0.095573
Epoch 46, Itrs 2930/10000, Loss=0.117488
Epoch 46, Itrs 2940/10000, Loss=0.110148
Epoch 47, Itrs 2950/10000, Loss=0.159578
Epoch 47, Itrs 2960/10000, Loss=0.108031
Epoch 47, Itrs 2970/10000, Loss=0.086595
Epoch 47, Itrs 2980/10000, Loss=0.101866
Epoch 47, Itrs 2990/10000, Loss=0.067770
Epoch 47, Itrs 3000/10000, Loss=0.132552
Epoch 48, Itrs 3010/10000, Loss=0.059569
Epoch 48, Itrs 3020/10000, Loss=0.065435
Epoch 48, Itrs 3030/10000, Loss=0.060352
Epoch 48, Itrs 3040/10000, Loss=0.098777
Epoch 48, Itrs 3050/10000, Loss=0.061271
Epoch 48, Itrs 3060/10000, Loss=0.163062
Epoch 48, Itrs 3070/10000, Loss=0.106576
Epoch 49, Itrs 3080/10000, Loss=0.060411
Epoch 49, Itrs 3090/10000, Loss=0.070046
Epoch 49, Itrs 3100/10000, Loss=0.111714
Epoch 49, Itrs 3110/10000, Loss=0.109255
Epoch 49, Itrs 3120/10000, Loss=0.106462
Epoch 49, Itrs 3130/10000, Loss=0.089587
Epoch 50, Itrs 3140/10000, Loss=0.176681
Epoch 50, Itrs 3150/10000, Loss=0.134316
Epoch 50, Itrs 3160/10000, Loss=0.093023
Epoch 50, Itrs 3170/10000, Loss=0.068481
Epoch 50, Itrs 3180/10000, Loss=0.057385
Epoch 50, Itrs 3190/10000, Loss=0.082587
Epoch 50, Itrs 3200/10000, Loss=0.111896
Epoch 51, Itrs 3210/10000, Loss=0.067971
Epoch 51, Itrs 3220/10000, Loss=0.100694
Epoch 51, Itrs 3230/10000, Loss=0.144556
Epoch 51, Itrs 3240/10000, Loss=0.105784
Epoch 51, Itrs 3250/10000, Loss=0.101427
Epoch 51, Itrs 3260/10000, Loss=0.049131
Epoch 52, Itrs 3270/10000, Loss=0.118562
Epoch 52, Itrs 3280/10000, Loss=0.204378
Epoch 52, Itrs 3290/10000, Loss=0.685671
Epoch 52, Itrs 3300/10000, Loss=0.132930
Epoch 52, Itrs 3310/10000, Loss=0.065596
Epoch 52, Itrs 3320/10000, Loss=0.097322
Epoch 53, Itrs 3330/10000, Loss=0.047997
Epoch 53, Itrs 3340/10000, Loss=0.136685
Epoch 53, Itrs 3350/10000, Loss=0.091857
Epoch 53, Itrs 3360/10000, Loss=0.071702
Epoch 53, Itrs 3370/10000, Loss=0.075234
Epoch 53, Itrs 3380/10000, Loss=0.105458
Epoch 53, Itrs 3390/10000, Loss=0.065673
Epoch 54, Itrs 3400/10000, Loss=0.077628
Epoch 54, Itrs 3410/10000, Loss=0.055763
Epoch 54, Itrs 3420/10000, Loss=0.056195
Epoch 54, Itrs 3430/10000, Loss=0.090957
Epoch 54, Itrs 3440/10000, Loss=0.082485
Epoch 54, Itrs 3450/10000, Loss=0.126829
Epoch 55, Itrs 3460/10000, Loss=0.093174
Epoch 55, Itrs 3470/10000, Loss=0.045660
Epoch 55, Itrs 3480/10000, Loss=0.113950
Epoch 55, Itrs 3490/10000, Loss=0.059569
Epoch 55, Itrs 3500/10000, Loss=0.083460
Epoch 55, Itrs 3510/10000, Loss=0.180477
Epoch 55, Itrs 3520/10000, Loss=0.091529
Epoch 56, Itrs 3530/10000, Loss=0.094683
Epoch 56, Itrs 3540/10000, Loss=0.083475
Epoch 56, Itrs 3550/10000, Loss=0.095421
Epoch 56, Itrs 3560/10000, Loss=0.192333
Epoch 56, Itrs 3570/10000, Loss=0.093356
Epoch 56, Itrs 3580/10000, Loss=0.138125
Epoch 57, Itrs 3590/10000, Loss=0.050073
Epoch 57, Itrs 3600/10000, Loss=0.150900
Epoch 57, Itrs 3610/10000, Loss=0.072798
Epoch 57, Itrs 3620/10000, Loss=0.095185
Epoch 57, Itrs 3630/10000, Loss=0.051101
Epoch 57, Itrs 3640/10000, Loss=0.050329
Epoch 58, Itrs 3650/10000, Loss=0.068832
Epoch 58, Itrs 3660/10000, Loss=0.036570
Epoch 58, Itrs 3670/10000, Loss=0.041472
Epoch 58, Itrs 3680/10000, Loss=0.053349
Epoch 58, Itrs 3690/10000, Loss=0.070402
Epoch 58, Itrs 3700/10000, Loss=0.193537
