class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
background	0.991578	0.996775	0.995771	0.987493	0.810942	0.863547	0.886264	11000	47
cotton	0.954075	0.981524	0.976498						
abuth	0.862446	0.961204	0.926143						
canger	0.745872	0.877030	0.854440						
machixian	0.839955	0.923618	0.913017						
longkui	0.882953	0.892512	0.937839						
tianxuanhua	0.455516	0.469383	0.625917						
niujincao	0.755140	0.806330	0.860490						
background	0.991646	0.996806	0.995806	0.988036	0.815868	0.865762	0.888568	11200	48
cotton	0.956736	0.984173	0.977890						
abuth	0.887506	0.963394	0.940400						
canger	0.761886	0.912060	0.864853						
machixian	0.837668	0.897319	0.911664						
longkui	0.893627	0.902737	0.943826						
tianxuanhua	0.442334	0.455780	0.613359						
niujincao	0.755538	0.813831	0.860748						
background	0.991632	0.996808	0.995798	0.986276	0.790899	0.844342	0.873343	11400	48
cotton	0.935863	0.985288	0.966869						
abuth	0.881990	0.957412	0.937295						
canger	0.747829	0.911011	0.855723						
machixian	0.836868	0.891634	0.911190						
longkui	0.754153	0.761128	0.859849						
tianxuanhua	0.437026	0.450023	0.608237						
niujincao	0.741831	0.801432	0.851783						
background	0.991628	0.996634	0.995796	0.986169	0.789260	0.844629	0.870267	11600	49
cotton	0.938233	0.984872	0.968132						
abuth	0.857095	0.958863	0.923049						
canger	0.734225	0.877762	0.846747						
machixian	0.837089	0.902196	0.911321						
longkui	0.817453	0.826284	0.899559						
tianxuanhua	0.390817	0.401162	0.561997						
niujincao	0.747536	0.809260	0.855531						
background	0.991689	0.996667	0.995827	0.987394	0.804531	0.857965	0.880485	11800	50
cotton	0.946594	0.985235	0.972564						
abuth	0.897261	0.957147	0.945849						
canger	0.766063	0.935135	0.867538						
machixian	0.837516	0.901715	0.911574						
longkui	0.838592	0.847616	0.912211						
tianxuanhua	0.411633	0.423078	0.583201						
niujincao	0.746901	0.817127	0.855115						
background	0.991728	0.996724	0.995847	0.987451	0.807288	0.859878	0.882647	12000	51
cotton	0.949564	0.984376	0.974130						
abuth	0.885839	0.958424	0.939464						
canger	0.752951	0.915747	0.859067						
machixian	0.840372	0.901697	0.913263						
longkui	0.857595	0.867439	0.923339						
tianxuanhua	0.422096	0.434398	0.593626						
niujincao	0.758156	0.820214	0.862444						
