class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
cotton	0.887266	0.943093	0.940266						
background	0.989424	0.995535	0.994684	0.989617	0.938726	0.966453	0.967918	5280	22
abuth	0.939323	0.962401	0.968712						
cotton	0.887432	0.941424	0.940359						
background	0.989366	0.995545	0.994654	0.989470	0.937124	0.964875	0.967024	5312	22
abuth	0.938695	0.962678	0.968378						
cotton	0.883311	0.936402	0.938040						
background	0.989347	0.995823	0.994645	0.989575	0.938867	0.966468	0.968005	5344	22
abuth	0.938749	0.958948	0.968407						
cotton	0.888506	0.944633	0.940962						
background	0.989106	0.996031	0.994523	0.989226	0.935718	0.962660	0.966252	5376	22
abuth	0.937124	0.957842	0.967541						
cotton	0.880924	0.934107	0.936693						
background	0.988932	0.996418	0.994435	0.988983	0.933364	0.959240	0.964933	5408	22
abuth	0.936110	0.955687	0.967001						
cotton	0.875050	0.925613	0.933362						
