class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
background	0.991063	0.996487	0.995511	0.987910	0.819674	0.878419	0.894394	6000	26
cotton	0.956989	0.974636	0.978022						
abuth	0.870294	0.939821	0.930650						
canger	0.782630	0.906567	0.878062						
machixian	0.812679	0.908815	0.896661						
longkui	0.898784	0.942827	0.946694						
tianxuanhua	0.548927	0.584959	0.708784						
niujincao	0.696022	0.773243	0.820770						
background	0.991168	0.996426	0.995564	0.987751	0.812309	0.867350	0.887175	6200	27
cotton	0.960550	0.983754	0.979878						
abuth	0.884870	0.908928	0.938919						
canger	0.757403	0.967067	0.861957						
machixian	0.829304	0.917465	0.906688						
longkui	0.893853	0.917182	0.943952						
tianxuanhua	0.468650	0.488189	0.638205						
niujincao	0.712675	0.759789	0.832236						
background	0.991293	0.995634	0.995628	0.986052	0.775395	0.848034	0.852591	6400	27
cotton	0.961532	0.985618	0.980389						
abuth	0.852847	0.910288	0.920580						
canger	0.713605	0.969074	0.832870						
machixian	0.832571	0.929029	0.908637						
longkui	0.866895	0.925365	0.928703						
tianxuanhua	0.261768	0.266475	0.414922						
niujincao	0.722649	0.802792	0.838997						
background	0.990979	0.996329	0.995469	0.985932	0.772109	0.834852	0.847320	6600	28
cotton	0.957389	0.983817	0.978231						
abuth	0.838678	0.940412	0.912262						
canger	0.716329	0.896507	0.834722						
machixian	0.801060	0.870174	0.889543						
longkui	0.934930	0.980964	0.966371						
tianxuanhua	0.228867	0.232422	0.372485						
niujincao	0.708640	0.778188	0.829479						
background	0.990960	0.997240	0.995459	0.986905	0.794108	0.849741	0.871050	6800	29
cotton	0.954934	0.976720	0.976947						
abuth	0.862375	0.898355	0.926103						
canger	0.757457	0.929847	0.861992						
machixian	0.827498	0.901490	0.905608						
longkui	0.889878	0.966710	0.941731						
tianxuanhua	0.362285	0.371877	0.531878						
niujincao	0.707475	0.755690	0.828680						
background	0.991179	0.996339	0.995570	0.986482	0.796800	0.858850	0.879547	7000	30
cotton	0.959982	0.983557	0.979582						
abuth	0.841277	0.871546	0.913797						
canger	0.719900	0.951545	0.837141						
machixian	0.818039	0.905904	0.899913						
longkui	0.819331	0.880514	0.900695						
tianxuanhua	0.512920	0.537610	0.678053						
niujincao	0.711773	0.743783	0.831621						
